type,start_ms,duration_ms
badge,1748652070947,1339
badge,1748652081665,1345
badge,1748652092441,1342
badge,1748652103124,1338
badge,1748652113798,1337
badge,1748652124445,1342
badge,1748652135142,1342
badge,1748652145740,1339
badge,1748652156355,1363
badge,1748652167074,1361
badge,1748652177780,1345
badge,1748652188447,1383
badge,1748652199178,1356
badge,1748652209798,1342
badge,1748652220506,1340
badge,1748652231255,1331
badge,1748652241870,1334
badge,1748652252572,1342
badge,1748652263258,1341
badge,1748652273991,1337
badge,1748652284701,1343
badge,1748652295424,1335
badge,1748652306092,1335
badge,1748652316715,1338
badge,1748652327364,1338
badge,1748652338038,1345
badge,1748652348748,1342
badge,1748652359354,1335
badge,1748652369943,1405
badge,1748652380740,1432
badge,1748652391579,1417
badge,1748652402367,1367
badge,1748652413031,1353
badge,1748652423738,1344
badge,1748652434416,1347
badge,1748652445100,1349
badge,1748652455744,1361
badge,1748652466524,1374
badge,1748652477285,1340
badge,1748652487984,1334
badge,1748652498614,1354
badge,1748652509306,1334
badge,1748652520036,1347
badge,1748652530710,1342
badge,1748652541351,1342
badge,1748652552018,1335
badge,1748652562641,1354
badge,1748652573345,1377
badge,1748652584073,1360
badge,1748652594861,1343
badge,1748652605647,1336
badge,1748652616370,1330
badge,1748652626986,1341
badge,1748652637587,1347
badge,1748652648237,1337
badge,1748652658855,1355
badge,1748652669580,1333
badge,1748652680318,1344
badge,1748652691022,1358
badge,1748652701796,1345
badge,1748652712481,1333
badge,1748652723156,1335
badge,1748652733807,1348
badge,1748652744414,1384
badge,1748652755088,1406
